cmp_idx,cmp,proximal_idx,proximal_value,distal_idx,distal_value,pattern,legin_idx,legout_unix_time,tested
1666031400,195.5,1631817000,157.0,1632076200,142.3,DBR,1631817000,1632335400,0
1665685800,191.4,1631471400,141.4,1631125800,137.5,RBR,1631125800,1631557800,0
1664994600,200.65,1632767400,172.75,1632681000,162.05,RBR,1632681000,1632853800,0
1655663400,184.25,1630953000,140.0,1631039400,137.5,DBR,1630953000,1631125800,0
1631471400,140.95,1626892200,139.65,1627410600,131.55,DBR,1626892200,1627497000,1
1631039400,138.55,1618252200,134.25,1618252200,126.05,RBR,1618252200,1618511400,0
1630866600,139.65,1619721000,129.8,1619980200,123.7,DBR,1619721000,1620239400,0
1630348200,136.55,1615919400,134.05,1616005800,125.2,DBR,1615919400,1616092200,0
1629657000,131.2,1611513000,116.0,1611685800,104.15,DBR,1611513000,1611772200,0
1620239400,131.45,1612117800,111.9,1611772200,101.35,RBR,1611772200,1612204200,0
1620153000,126.25,1609180200,78.0,1609353000,74.1,RBR,1609093800,1609439400,0
1619461800,130.15,1610908200,102.25,1610908200,95.2,DBR,1610908200,1611081000,0
1619029800,129.95,1610562600,97.6,1610303400,82.0,RBR,1610303400,1610649000,0
1617042600,129.05,1610044200,81.85,1609439400,75.2,RBR,1609439400,1610303400,0
1613932200,118.15,1608748200,72.85,1608661800,67.15,RBR,1608661800,1609093800,0
1611858600,104.45,1605724200,76.15,1606069800,70.4,DBR,1605724200,1606156200,0
1611772200,105.75,1608489000,74.15,1608575400,64.0,DBR,1608489000,1608661800,0
1609439400,76.45,1605205800,61.85,1605033000,57.7,RBR,1605033000,1605292200,0
1609266600,76.8,1604946600,58.2,1604514600,55.05,RBR,1604514600,1605033000,0
1608748200,72.85,1602613800,58.0,1602700200,54.0,DBR,1602613800,1603305000,0
1608575400,67.55,1596738600,41.05,1596393000,37.25,RBR,1596393000,1596997800,0
1605205800,61.85,1595961000,39.15,1596133800,36.85,DBR,1595961000,1596393000,0
1604601000,56.5,1594751400,41.35,1594837800,39.1,DBR,1594751400,1594924200,0
1597084200,41.55,1590690600,36.1,1589913000,33.7,RBR,1589913000,1590949800,0
1596997800,42.85,1592418600,39.8,1592332200,38.55,RBR,1592332200,1592505000,0
1596652200,40.9,1586889000,37.0,1586370600,31.0,RBR,1586370600,1586975400,0
1596479400,39.35,1584556200,35.9,1584988200,28.4,DBR,1584556200,1586370600,0
1594060200,43.15,1589740200,35.2,1589740200,33.4,DBR,1589740200,1589913000,0
